country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
Germany,zesty orange peel apple note abound sprightly mineraltoned riesling dry palate yet racy lean refresh easy quaffer wide appeal ,Devon,87,24.0,Mosel,,,Anna Lee C. Iijima,,Richard Böcking 2013 Devon Riesling (Mosel),Riesling,Richard Böcking
Argentina,bake plum molasses balsamic vinegar cheesy oak aromas fee palate thats brace bolt acidity compact set saucy redberry plum flavor feature tobacco peppery accent finish mildly green flavor respectable weight balance ,Felix,87,30.0,Other,Cafayate,,Michael Schachner,@wineschach,Felix Lavaque 2010 Felix Malbec (Cafayate),Malbec,Felix Lavaque
Argentina,raw blackcherry aromas direct simple good juicy feel thicken time oak character extract become apparent flavor profile drive darkberry fruit smolder oak finish meaty hot ,Winemaker Selection,87,13.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),Malbec,Gaucho Andino
Spain,desiccate blackberry leather char wood mint aromas carry nose fullbodied tannic heavily oaked tinto fino flavor cleave woodspice sit top blackberry fruit hickory forceful oakbased aromas rise dominate finish ,Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza,87,28.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),Tempranillo Blend,Pradorey
US,red fruit aromas pervade nose cigar box menthol note rid back palate slightly restrain entry open riper note cherry plum speck crush pepper blend merlot cabernet sauvignon cabernet franc approachable ready enjoy ,,87,32.0,Virginia,Virginia,,Alexander Peartree,,Quiévremont 2012 Meritage (Virginia),Meritage,Quiévremont
US,ripe aromas dark berry mingle ample note black pepper toast vanilla dusty tobacco palate oakdriven nature note tart red currant shine offer bite levity ,Vin de Maison,87,23.0,Virginia,Virginia,,Alexander Peartree,,Quiévremont 2012 Vin de Maison Red (Virginia),Red Blend,Quiévremont
US,sleek mix tart berry stem herb along hint oak chocolate fair value widely available drinknow oregon pinot wine oakaged six months whether neutral restaved indicate ,,87,20.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Acrobat 2013 Pinot Noir (Oregon),Pinot Noir,Acrobat
Italy,delicate aromas recall white flower citrus palate offer passion fruit lime white peach hint mineral alongside bright acidity ,Ficiligno,87,19.0,Sicily & Sardinia,Sicilia,,Kerin O’Keefe,@kerinokeefe,Baglio di Pianetto 2007 Ficiligno White (Sicilia),White Blend,Baglio di Pianetto
US,wine geneseo district offer aromas sour plums enough cigar box tempt nose flavor bite flat first acidity tension sour cherries emerge midpalate bolster black licorice ,Signature Selection,87,22.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Bianchi 2011 Signature Selection Merlot (Paso Robles),Merlot,Bianchi
Italy,aromas prune blackcurrant toast oak carry extract palate along flavor black cherry roast coffee bean firm dry tannins provide framework ,Aynat,87,35.0,Sicily & Sardinia,Sicilia,,Kerin O’Keefe,@kerinokeefe,Canicattì 2009 Aynat Nero d'Avola (Sicilia),Nero d'Avola,Canicattì
US,oak earth intermingle around robust aromas wet forest floor vineyarddesignated pinot hail highelevation site small production offer intense fullbodied raspberry blackberry steep smoky spice smooth texture ,King Ridge Vineyard,87,69.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Castello di Amorosa
Italy,pretty aromas yellow flower stone fruit lead nose bright palate offer yellow apple apricot vanilla delicate note lightly toast oak alongside crisp acidity ,Dalila,87,13.0,Sicily & Sardinia,Terre Siciliane,,Kerin O’Keefe,@kerinokeefe,Stemmari 2013 Dalila White (Terre Siciliane),White Blend,Stemmari
Italy,aromas recall ripe dark berry toast whiff cake spice soft informal palate offer sour cherry vanilla hint espresso alongside round tannins drink soon ,,87,10.0,Sicily & Sardinia,Terre Siciliane,,Kerin O’Keefe,@kerinokeefe,Stemmari 2013 Nero d'Avola (Terre Siciliane),Nero d'Avola,Stemmari
Italy,aromas suggest mature berry scorch earth animal toast anise palate offer ripe black berry oak espresso cocoa vanilla alongside dusty tannins ,Mascaria Barricato,87,17.0,Sicily & Sardinia,Cerasuolo di Vittoria,,Kerin O’Keefe,@kerinokeefe,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),Red Blend,Terre di Giurfo
US,clarksburg become chenin blanc california bottle use fruit source several vineyards area balance trace sweetness background 1 residual sugar crisp straightforward bless note pear lime drink cold ,,86,16.0,California,Clarksburg,Central Valley,Virginie Boone,@vboone,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),Chenin Blanc,Clarksburg Wine Company
France,red cherry fruit come lace light tannins give bright wine open juicy character ,Nouveau,86,25.0,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages),Gamay,Domaine de la Madone
Italy,merlot nero davola form base easy red wine would pair fettuccine meat sauce pork roast quality fruit clean bright sharp ,Calanìca Nero d'Avola-Merlot,86,25.0,Sicily & Sardinia,Sicilia,,,,Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia),Red Blend,Duca di Salaparuta
Italy,part extend calanìca series grilloviognier blend show aromas honeysuckle jasmine back touch cut grass wild sage mouth show ripe yellowfruit flavor ,Calanìca Grillo-Viognier,86,25.0,Sicily & Sardinia,Sicilia,,,,Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia),White Blend,Duca di Salaparuta
US,rustic dry flavor berry currants licorice spice make cabernet franc cabernet sauvignon ,Puma Springs Vineyard,86,50.0,California,Dry Creek Valley,Sonoma,,,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),Red Blend,Envolve
US,show tart green gooseberry flavor similar new zealand sauvignon blanc note include tropical fruit orange honey unoaked splash muscat commendable dryness acidity ,,86,20.0,California,Sonoma Valley,Sonoma,,,Envolve 2011 Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,Envolve
US,many erath 2010 vineyard designate strongly herbal note leaf herb create somewhat unripe flavor impressions touch bitterness finish fruit pass ripen sweet tomatoes ,Hyland,86,50.0,Oregon,McMinnville,Willamette Valley,Paul Gregutt,@paulgwine ,Erath 2010 Hyland Pinot Noir (McMinnville),Pinot Noir,Erath
Chile,white flower lychee apple aromas carry mellow bouquet chunkyfeeling palate bear powdery sweet flavor peach melon mix greener note grass lime 80 viognier component typical warm climate plump oily short finish chardonnay fill blend ,Estate,86,15.0,Colchagua Valley,,,Michael Schachner,@wineschach,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),Viognier-Chardonnay,Estampa
Italy,concentrate cabernet offer aromas cure meat dry fruit rosemary barbecue spice teriyaki sauce flavor give wine bold chewy feel ,Missoni,86,21.0,Sicily & Sardinia,Sicilia,,,,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),Cabernet Sauvignon,Feudi del Pisciotto
Italy,inky color wine plump aromas ripe fruit blackberry jam rum cake palate soft smooth ,I Tratturi,86,11.0,Southern Italy,Puglia,,,,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),Primitivo,Feudi di San Marzano
Italy,part natural wine movement wine make organic grapes label print vegetable ink recycle paper quality fruit nice juicy palate bright berry flavor finish ,Purato Made With Organic Grapes,86,12.0,Sicily & Sardinia,Sicilia,,,,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),Nero d'Avola,Feudo di Santa Tresa
Italy,catarratto one sicilys widely farm white grape varieties expression show mineral note back citrus almond blossom touch ,,86,17.0,Sicily & Sardinia,Sicilia,,,,Feudo Montoni 2011 Catarratto (Sicilia),Catarratto,Feudo Montoni
US,stiff tannic wine slowly open bring brambly berry flavor play along note earthy herbs theres touch bitterness tannins ,,86,22.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,Hawkins Cellars
France,festive wine soft ripe fruit acidity plus red berry flavor ,Nouveau,86,9.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Henry Fessy 2012 Nouveau  (Beaujolais),Gamay,Henry Fessy
US,clean brisk mouthfeel give slightly oaked sauvignon blanc instant likeability dry rich streak honey sweeten citrus pear tropical fruit flavor pair asian fare ham green salad grapefruit section ,,86,14.0,California,Paso Robles,Central Coast,,,Robert Hall 2011 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,Robert Hall
Chile,berry aroma come cola herb note palate tangy racy deliver raspberry plum flavor modest finish ,,86,9.0,Maule Valley,,,Michael Schachner,@wineschach,Sundance 2011 Merlot (Maule Valley),Merlot,Sundance
US,right start block oaky wine drip caramel vanilla note texture midpalate fin graceful dry tannins latch onto oakdriven finish eccentric blend 50 tannat 35 petit verdot 15 pinotage ,#SocialSecret,86,40.0,Virginia,Virginia,,,,Tarara 2010 #SocialSecret Red (Virginia),Red Blend,Tarara
Italy,spicy fresh clean would pair fry seafood spaghetti con vongole offer pretty citrus tone follow dry mineral nuance ,Sallier de la Tour,86,13.0,Sicily & Sardinia,Sicilia,,,,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),Inzolia,Tasca d'Almerita
US,sweet wine flavor white sugar orange honey vanilla brighten crisp acidity ,,86,13.0,California,Lake County,,,,The White Knight 2011 Riesling (Lake County),Riesling,The White Knight
US,bottle resemble new zealand paradigm sauvignon blanc bear aromas grapefruit passion fruit kiwi sprinkle graham cracker add interest wine hit palate like fleshy fist intense grassy gooseberry flavor provide plenty punch pair apricotglazed roast chicken ,,86,16.0,Virginia,Monticello,,,,Trump 2011 Sauvignon Blanc (Monticello),Sauvignon Blanc,Trump
France,soft fruity generous ripe wine thats full juicy redcherry fruit gentle tannins richness give sweet character open readytodrink wine ,Eté Indien,86,14.0,Beaujolais,Brouilly,,Roger Voss,@vossroger,Vignerons de Bel Air 2011 Eté Indien  (Brouilly),Gamay,Vignerons de Bel Air
Italy,blend nero davola syrah open savory aromas cure meat dry berry cassis tobacco wet earth theres touch almond bitterness finish ,Scialo,86,25.0,Sicily & Sardinia,Sicilia,,,,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),Red Blend,Viticultori Associati Canicatti
Chile,much different casa silvas 2009 petit verdot taste flight 08 hard spicy tarry leafy herbal aroma plus grittiness palate feel snappy cantmiss saltiness finish long length short fruit raw feel ,Gran Reserva,85,22.0,Colchagua Valley,,,Michael Schachner,@wineschach,Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),Petit Verdot,Casa Silva
Italy,monica grape often show rustic raw quality aromas cherry cola black pepper sour fruit expression add touch bright acidity finish ,Dolia,85,14.0,Sicily & Sardinia,Monica di Sardegna,,,,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),Monica,Cantine di Dolianova
France,fruity lightly herbaceous fine textured acidity along pink grapefruit flavor wine bright easy ready drink months ,La Fleur d'Amélie,85,15.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),Bordeaux-style White Blend,Château de Sours
Italy,blend nero davola nerello mascalese deliver forest berry cola blue flower dusty mineral accent palate easy bright lean ,Rosso,85,25.0,Sicily & Sardinia,Sicilia,,,,Corvo 2010 Rosso Red (Sicilia),Red Blend,Corvo
US,show jellylike flavor orange pear earthy tone mouthfeel soft theres bounty oak form butter toast caramel note ,Estate Bottled,85,30.0,California,Napa Valley,Napa,,,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),Chardonnay,RustRidge
US,weighty creamy medium full body plenty lime pear flavor plus slight brown sugar vanilla note ,,85,14.0,California,North Coast,North Coast,Virginie Boone,@vboone,Souverain 2010 Chardonnay (North Coast),Chardonnay,Souverain
Italy,theres touch toast almond start grillo rev glass deliver note citrus stone fruit crush stone lemon tart mouthfeel crisp simple ,Sallier de la Tour,85,13.0,Sicily & Sardinia,Sicilia,,,,Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia),Grillo,Tasca d'Almerita
Chile,lightly herbal strawberry raspberry aromas authentic fresh palate light juicy snappy lean flavor red fruit dry spice finish dry oaky ,Reserve,85,13.0,Maipo Valley,,,Michael Schachner,@wineschach,Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),Pinot Noir,Tres Palacios
US,aromas cranberry barrel spice herb follow tart cranberry flavor grainy tannins fall bite flat variety seem hard discern ,,86,55.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Mellisoni 2014 Malbec (Columbia Valley (WA)),Malbec,Mellisoni
US,syrupy dense wine jammy plum vanilla indeterminate structure plenty oak ripe fullbodied accent graphite leather ,Estate,86,100.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Okapi
Italy,densely hue wine aromas black plum vanilla carry simple palate along touch cedar pliant tannins give easygoing nature drink soon ,Prugneto,86,17.0,Central Italy,Romagna,,Kerin O’Keefe,@kerinokeefe,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,Podere dal Nespoli
US,aromas brood note barrel spice cherry flavor tart elegant style lightly gritty tannins back best suit dinner table ,Alder Ridge Vineyard,86,25.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Ram
France,fat yeasty champagne comprise predominantly pinot noir ripe red berry fruit light acidity soft creamy aftertaste ready drink ,Brut Rosé,86,58.0,Champagne,Champagne,,Roger Voss,@vossroger,Roland Champion NV Brut Rosé  (Champagne),Champagne Blend,Roland Champion
US,intrigue touch nose bottle jasmine sea salt wet hay quinine rainy sidewalk structure sip quite delicate golden apple honey flavor ,Golden Horn,86,26.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Sevtap
France,warm 2015 vintage soft fruity wine open broad white fruit flavor acidity lighter usual chablis give particularly ripe character drink ,,86,24.0,Burgundy,Chablis,,Roger Voss,@vossroger,Simonnet-Febvre 2015  Chablis,Chardonnay,Simonnet-Febvre
France,soft round wine ripe generous pear melon flavor easy ready drink young smooth attractively ripe character ,,86,15.0,Burgundy,Mâcon-Milly Lamartine,,Roger Voss,@vossroger,Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,Chardonnay,Vignerons des Terres Secrètes
US,blend merlot cabernet franc wine bring disjoint lightly volatile aromas wood spice vanilla cherry plump cherry flavor round woody barrel note ,Inspired,86,46.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars
US,deep color spicysmoky flavor fullbodied wine pack darkfruit flavor like blackberry blueberry aromas like grill beef spicy flavor like cardamom smoke give bold character thats hard deny ,,86,12.0,California,California,California Other,Jim Gordon,@gordone_cellars,Cocobon 2014 Red (California),Red Blend,Cocobon
France,cooperative base aÿ benefit fine pinot noir village produce ripe red fruit wine balance acidity soft aftertaste ready drink ,Brut Rosé,86,55.0,Champagne,Champagne,,Roger Voss,@vossroger,Collet NV Brut Rosé  (Champagne),Champagne Blend,Collet
US,aromas vanilla char toast lead light creamy stone fruit cannedcorn flavor provide appeal oak seem overweighted ,,86,12.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Drumheller 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,Drumheller
US,big oak define robustly dense extract red swim vanilla cherry flavor fullbodied gravelly texture rustically pleasant wine pizza nights crowd ,Old Vine,86,40.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Eco Terreno
Italy,aromas blackskinned fruit leather underbrush game briny note carry lean somewhat disjoint palate along suggestions licorice raw red cherry grainy tannins leave dry finish ,Daginestra,86,32.0,Southern Italy,Aglianico del Vulture,,Kerin O’Keefe,@kerinokeefe,Grifalco 2013 Daginestra  (Aglianico del Vulture),Aglianico,Grifalco
US,juicy plum raspberry pencil lead lead way vineyard designate site thats 2000 feet high tobacco cedar meet fullbodied hit oak pucker tannin wine still youthfully wrap fullbodied boldness ,Bella Vetta Vineyard,86,75.0,California,Howell Mountain,Napa,Virginie Boone,@vboone,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Hindsight
US,producers first release wine fruity aromas plum tart cranberry add overall sense lightness understatement ,Estate Grown,86,55.0,California,Calistoga,Napa,Virginie Boone,@vboone,Hindsight 2012 Estate Grown Petite Sirah (Calistoga),Petite Sirah,Hindsight
US,make equal part cabernet franc merlot small additions malbec juicy reveal raisiny quality ripen around integrate oak generous tannin ,The Cypher,86,75.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),Bordeaux-style Red Blend,Mulvane Wine Co.
Germany,earthy pollen mineral note lend savory tone mediumsweet riesling soft slightly pulpy intensify overripe tangerine stone fruit flavor drink 2018 ,,86,9.0,Rheinhessen,,,Anna Lee C. Iijima,,Schmitt Söhne 2015 Riesling (Rheinhessen),Riesling,Schmitt Söhne
Australia,mediumbodied chardonnay feature aromas pineapple roast cashew similar note ripe pineapple nut mark palate ease rather soft easy finish drink ,Made With Organic Grapes,86,18.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Chardonnay,Yalumba
US,rosés make simply bleed juice fermenter concentrate remain wine whether case wine simple pleasant lightly candy strawberry flavor one might expect technique fruity undemanding drink ,Rosé of,86,25.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),Pinot Noir,Z'IVO
Portugal,grow sandy soil tejo wine typically soft open accessible—with black fruit light tannins grape ready drink ,Bridão,86,25.0,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo 2014 Bridão Touriga Nacional (Tejo),Touriga Nacional,Adega Cooperativa do Cartaxo
Chile,caramelize oak vanilla aromas front center barrelheavy nose feel bite choppy astringent tannins herbal salty plum flavor wear lot oaky makeup finish force woody flavor ,Special Release Reserva,86,12.0,Rapel Valley,,,Michael Schachner,@wineschach,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),Carmenère,Aresti
Spain,bland mature aromas white fruit weak side albariño feel round oily briny leesy flavor lack pop precision grabby age finish short free flow grape region know drink immediately wait newer vintage ,,86,16.0,Galicia,Rías Baixas,,Michael Schachner,@wineschach,Spyro 2014 Albariño (Rías Baixas),Albariño,Spyro
France,fruity sweet wine immediately attractive ripe great apricot pineapple fruit hint spicy wood balance acidity perfect apéritif—light refresh drink ,La Réserve,86,11.0,France Other,Vin de France,,Roger Voss,@vossroger,Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France),Petit Manseng,Lionel Osmin & Cie
Australia,pale copper hue wine exude passion fruit nose palate deliver nuances muskmelon well crisp racy medium body perfectly suit summertime refreshment drink ,Jester Sangiovese,86,20.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale),Rosé,Mitolo
US,healthy addition 13 petite sirah provide add weight intensity wine soft supple richly conceive combination smoky black fruit mocha ,Classic,86,24.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Napa Cellars 2014 Classic Zinfandel (Napa Valley),Zinfandel,Napa Cellars
Germany,pronounce dust pollen earth tone lend savoriness otherwise citrusy wine racy acidity fresh tangerine lemon flavor turn herbal finish drink ,Undone Dry,86,10.0,Rheinhessen,,,Anna Lee C. Iijima,,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),Riesling,P.J. Valckenberg
US,vibrant aromas ripe pear white flower melon follow offdry palate lean fruit flavor ,,86,20.0,Washington,Ancient Lakes,Columbia Valley,Sean P. Sullivan,@wawinereport,Palencia 2016 Albariño (Ancient Lakes),Albariño,Palencia
US,soften tannins surround lightbodied lean herbal approach vineyarddesignate dot black pepper leather bake cherry ,Blau Vineyards,86,55.0,California,Knights Valley,Sonoma,Virginie Boone,@vboone,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Merlot,Passaggio
Italy,subdue aromas french oak toast acacia waft glass rather lean palate offer oakdriven spice chop herb hint citrus set racy acidity rather shy fruit richness ,Le Mandorle Riserva,86,29.0,Tuscany,Vernaccia di San Gimignano,,Kerin O’Keefe,@kerinokeefe,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),Vernaccia,Poggio Alloro
Italy,make primarily sangiovese malvasia white grapes offer aromas red berry yeasty whiff bread dough bright enjoyable palate offer ripe cherry hint pastry cream note honeydew melon mark close ,,88,19.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Fattoria Sardi 2015 Rosato (Toscana),Rosato,Fattoria Sardi
US,blend sangiovese malbec cabernet sauvignon petite sirah varieties play well type show wealth ripe dusty black fruit thats richly round soft palate approachable lightly oaked ,Siena,88,23.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,Ferrari-Carano
US,wine touch perceptible sweetness tropical nose yet taste dry show straightforward approach crisp coastalgrown variety apricot melon guava wrap around lightness body texture ,,88,18.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Folie à Deux 2015 Pinot Gris (Sonoma Coast),Pinot Gris,Folie à Deux
US,red bordeaux varieties represent blend except petit verdot together offer simple tannic structure strengthen chewiness leather tobacco touch cedar full body ripe bold brawny wine ,Magnificat,88,55.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Franciscan 2013 Magnificat Meritage (Napa Valley),Meritage,Franciscan
Austria,freshness characterize nose green pear ivy leave citrus note play nose palate light foot easy drink charm drink soon flavor fresh ,,88,12.0,Burgenland,,,Anne Krebiehl MW,@AnneInVino,Fuchs 2015 Grüner Veltliner (Burgenland),Grüner Veltliner,Fuchs
US,barrel note prominent aromas creamsicle bake spice palate broad dry stonefruit barrel flavor provide intrigue wood seem get way time ,Grand Klasse Reserve Lawrence Vineyards,88,22.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Viognier,Gård
France,dense wine pack tannins acidity bring ageworthiness appellation rich potential dark mineral texture drink concentrate cru wine 2018 ,,88,20.0,Beaujolais,Juliénas,,Roger Voss,@vossroger,Henry Fessy 2015  Juliénas,Gamay,Henry Fessy
France,wine come one cru estates follow negociant house light ripe fruity wine attractive redberry flavor finish crisp acidity accessible ready drink ,,88,18.0,Beaujolais,Régnié,,Roger Voss,@vossroger,Henry Fessy 2015  Régnié,Gamay,Henry Fessy
US,wisp bramble extend savory tone nose finish otherwise bright bristle wine delicate honey tone register dry palate balance neatly alongside flavor freshly press apples pears finish mark touch pencil lead drink 2020 ,Ingle Vineyard,88,20.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),Riesling,Heron Hill
